type,index,image,x,y,w,h,1,2,3,4,5,6,
skill_icon,1,UI\Game\skill\S_Azure_Knight.dds,40,0,40,40,0,0,0,0,,,
skill_icon,41,UI\Game\skill\S_Azure_Knight.dds,40,40,40,40,0,0,0,0,,,
skill_icon,21,UI\Game\skill\S_Azure_Knight.dds,40,80,40,40,0,0,0,0,,,
skill_icon,2,UI\Game\skill\S_Azure_Knight.dds,40,120,40,40,0,0,0,0,,,
skill_icon,83,UI\Game\skill\S_Azure_Knight.dds,40,160,40,40,0,0,0,0,,,
skill_icon,84,UI\Game\skill\S_Azure_Knight.dds,40,200,40,40,0,0,0,0,,,
skill_icon,81,UI\Game\skill\S_Azure_Knight.dds,40,240,40,40,0,0,0,0,,,
skill_icon,102,UI\Game\skill\S_Azure_Knight.dds,40,280,40,40,0,0,0,0,,,
skill_icon,82,UI\Game\skill\S_Azure_Knight.dds,40,320,40,40,0,0,0,0,,,
skill_icon,101,UI\Game\skill\S_Azure_Knight.dds,40,360,40,40,0,0,0,0,,,
skill_icon,103,UI\Game\skill\S_Azure_Knight.dds,40,400,40,40,0,0,0,0,,,
skill_icon,42,UI\Game\skill\S_Azure_Knight.dds,40,440,40,40,0,0,0,0,,,
skill_icon,22,UI\Game\skill\S_Azure_Knight.dds,120,0,40,40,0,0,0,0,,,
skill_icon,23,UI\Game\skill\S_Azure_Knight.dds,120,40,40,40,0,0,0,0,,,
skill_icon,61,UI\Game\skill\S_Azure_Knight.dds,120,80,40,40,0,0,0,0,,,
skill_icon,3,UI\Game\skill\S_Azure_Knight.dds,120,120,40,40,0,0,0,0,,,
skill_icon,43,UI\Game\skill\S_Azure_Knight.dds,120,160,40,40,0,0,0,0,,,
skill_icon,62,UI\Game\skill\S_Azure_Knight.dds,120,200,40,40,0,0,0,0,,,
skill_icon,63,UI\Game\skill\S_Azure_Knight.dds,120,240,40,40,0,0,0,0,,,
skill_icon,141,UI\Game\skill\S_Azure_Knight.dds,120,280,40,40,0,0,0,0,,,
skill_icon,142,UI\Game\skill\S_Azure_Knight.dds,120,320,40,40,0,0,0,0,,,
skill_icon,4,UI\Game\skill\S_Azure_Knight.dds,120,360,40,40,0,0,0,0,,,
skill_icon,24,UI\Game\skill\S_Azure_Knight.dds,120,400,40,40,0,0,0,0,,,
skill_icon,44,UI\Game\skill\S_Azure_Knight.dds,120,440,40,40,0,0,0,0,,,
skill_icon,64,UI\Game\skill\S_Azure_Knight.dds,200,0,40,40,0,0,0,0,,,
skill_icon,162,UI\Game\skill\S_Azure_Knight.dds,200,40,40,40,0,0,0,0,,,
skill_icon,104,UI\Game\skill\S_Azure_Knight.dds,200,80,40,40,0,0,0,0,,,
skill_icon,161,UI\Game\skill\S_Azure_Knight.dds,200,120,40,40,0,0,0,0,,,
skill_icon,163,UI\Game\skill\S_Azure_Knight.dds,200,160,40,40,0,0,0,0,,,
skill_icon,143,UI\Game\skill\S_Azure_Knight.dds,200,200,40,40,0,0,0,0,,,
skill_icon,5,UI\Game\skill\S_Azure_Knight.dds,200,240,40,40,0,0,0,0,,,
skill_icon,45,UI\Game\skill\S_Azure_Knight.dds,200,280,40,40,0,0,0,0,,,
skill_icon,65,UI\Game\skill\S_Azure_Knight.dds,200,320,40,40,0,0,0,0,,,
skill_icon,25,UI\Game\skill\S_Azure_Knight.dds,200,360,40,40,0,0,0,0,,,
skill_icon,181,UI\Game\skill\S_Azure_Knight.dds,200,400,40,40,0,0,0,0,,,
skill_icon,144,UI\Game\skill\S_Azure_Knight.dds,200,440,40,40,0,0,0,0,,,
skill_icon,122,UI\Game\skill\S_Azure_Knight.dds,280,0,40,40,0,0,0,0,스파우트앵거,,
skill_icon,121,UI\Game\skill\S_Azure_Knight.dds,280,40,40,40,0,0,0,0,듀얼어드벤스,,
skill_icon,85,UI\Game\skill\S_Azure_Knight.dds,280,80,40,40,0,0,0,0,비거크라이,,
skill_icon,164,UI\Game\skill\S_Azure_Knight.dds,280,120,40,40,0,0,0,0,제노사이드,,
skill_icon,123,UI\Game\skill\S_Azure_Knight.dds,280,160,40,40,0,0,0,0,페이탈해쉬,,
skill_icon,124,UI\Game\skill\S_Azure_Knight.dds,280,200,40,40,0,0,0,0,브랜디쉬,,
skill_icon,145,UI\Game\skill\S_Azure_Knight.dds,280,240,40,40,0,0,0,0,바운스디펜더,,
skill_icon,86,UI\Game\skill\S_Azure_Knight.dds,280,280,40,40,0,0,0,0,디바이드스피어,,
skill_icon,125,UI\Game\skill\S_Azure_Knight.dds,440,40,40,40,0,0,0,0,오프스핀,,
skill_icon,152,UI\Game\skill\S_Azure_Knight.dds,360,440,40,40,0,0,0,0,사크리텍션,,
skill_icon,169,UI\Game\skill\S_Azure_Knight.dds,440,0,40,40,0,0,0,0,브레이크 암스,,
skill_icon,182,UI\Game\skill\S_Azure_Knight.dds,280,440,40,40,0,0,0,0,바라드1차,,
skill_icon,183,UI\Game\skill\S_Azure_Knight.dds,280,320,40,40,0,0,0,0,소울 블레이드,,
skill_icon,184,UI\Game\skill\S_Azure_Knight.dds,280,360,40,40,0,0,0,0,바일런스 프릭,,
skill_icon,185,UI\Game\skill\S_Azure_Knight.dds,280,400,40,40,0,0,0,0,져지 오브 헬리온,,
skill_icon,186,UI\Game\skill\S_Azure_Knight.dds,440,80,40,40,0,0,0,0,패니트릿,,
skill_icon,187,UI\Game\skill\S_Azure_Knight.dds,440,120,40,40,0,0,0,0,스톰 웨이브,,
skill_icon,5001,UI\Game\skill\S_Azure_Knight.dds,440,160,40,40,0,0,0,0,바라드2차,,
skill_icon,146,UI\Game\skill\S_Azure_Knight.dds,360,0,40,40,0,0,0,0,카운터 히트,,
skill_icon,165,UI\Game\skill\S_Azure_Knight.dds,360,40,40,40,0,0,0,0,가이던스,,
skill_icon,87,UI\Game\skill\S_Azure_Knight.dds,360,80,40,40,0,0,0,0,포인트 타겟,,
skill_icon,149,UI\Game\skill\S_Azure_Knight.dds,360,120,40,40,0,0,0,0,에어 스피릿,,
skill_icon,147,UI\Game\skill\S_Azure_Knight.dds,360,160,40,40,0,0,0,0,헬스 스피릿,,
skill_icon,148,UI\Game\skill\S_Azure_Knight.dds,360,200,40,40,0,0,0,0,샤픈 스피릿,,
skill_icon,150,UI\Game\skill\S_Azure_Knight.dds,360,240,40,40,0,0,0,0,타운트 배쉬,,
skill_icon,167,UI\Game\skill\S_Azure_Knight.dds,360,280,40,40,0,0,0,0,퓨리 오브 론도우,,
skill_icon,166,UI\Game\skill\S_Azure_Knight.dds,360,320,40,40,0,0,0,0,바일런트 대쉬,,
skill_icon,151,UI\Game\skill\S_Azure_Knight.dds,360,360,40,40,0,0,0,0,프로텍션 센츄어리,,
skill_icon,168,UI\Game\skill\S_Azure_Knight.dds,360,400,40,40,0,0,0,0,차지드 쇼크,,
skill_icon,88,UI\Game\skill\S_Bagi_Warrior.dds,280,80,40,40,0,0,0,0,헬리온의 축복,,
